0#0,Pos.,Player,Date of birth (age),Caps,Goals,Club,club_link,squad,player_link
2,2DF,Toby Alderweireld,(1989-03-02)2 March 1989 (aged 27),55,1,Tottenham Hotspur,https://en.wikipedia.org/wiki/Tottenham_Hotspur_F.C.,Belgium,https://en.wikipedia.org/wiki/Toby_Alderweireld
3,2DF,Thomas Vermaelen,(1985-11-14)14 November 1985 (aged 30),53,1,Barcelona,https://en.wikipedia.org/wiki/FC_Barcelona,Belgium,https://en.wikipedia.org/wiki/Thomas_Vermaelen
4,3MF,Radja Nainggolan,(1988-05-04)4 May 1988 (aged 28),19,4,Roma,https://en.wikipedia.org/wiki/A.S._Roma,Belgium,https://en.wikipedia.org/wiki/Radja_Nainggolan
5,2DF,Jan Vertonghen,(1987-04-24)24 April 1987 (aged 29),77,6,Tottenham Hotspur,https://en.wikipedia.org/wiki/Tottenham_Hotspur_F.C.,Belgium,https://en.wikipedia.org/wiki/Jan_Vertonghen
6,3MF,Axel Witsel,(1989-01-12)12 January 1989 (aged 27),67,6,Zenit Saint Petersburg,https://en.wikipedia.org/wiki/FC_Zenit_Saint_Petersburg,Belgium,https://en.wikipedia.org/wiki/Axel_Witsel
7,4FW,Kevin De Bruyne,(1991-06-28)28 June 1991 (aged 24),39,12,Manchester City,https://en.wikipedia.org/wiki/Manchester_City_F.C.,Belgium,https://en.wikipedia.org/wiki/Kevin_De_Bruyne
8,3MF,Marouane Fellaini,(1987-11-22)22 November 1987 (aged 28),68,15,Manchester United,https://en.wikipedia.org/wiki/Manchester_United_F.C.,Belgium,https://en.wikipedia.org/wiki/Marouane_Fellaini
9,4FW,Romelu Lukaku,(1993-05-13)13 May 1993 (aged 23),44,12,Everton,https://en.wikipedia.org/wiki/Everton_F.C.,Belgium,https://en.wikipedia.org/wiki/Romelu_Lukaku
10,4FW,Eden Hazard (captain),(1991-01-07)7 January 1991 (aged 25),65,13,Chelsea,https://en.wikipedia.org/wiki/Chelsea_F.C.,Belgium,https://en.wikipedia.org/wiki/Eden_Hazard
11,4FW,Yannick Ferreira Carrasco,(1993-09-04)4 September 1993 (aged 22),4,0,Atlético Madrid,https://en.wikipedia.org/wiki/Atl%C3%A9tico_Madrid,Belgium,https://en.wikipedia.org/wiki/Yannick_Ferreira_Carrasco
12,1GK,Simon Mignolet,(1988-03-06)6 March 1988 (aged 28),16,0,Liverpool,https://en.wikipedia.org/wiki/Liverpool_F.C.,Belgium,https://en.wikipedia.org/wiki/Simon_Mignolet
13,1GK,Jean-François Gillet,(1979-05-31)31 May 1979 (aged 37),9,0,Mechelen,https://en.wikipedia.org/wiki/KV_Mechelen,Belgium,https://en.wikipedia.org/wiki/Jean-Fran%C3%A7ois_Gillet
14,4FW,Dries Mertens,(1987-05-06)6 May 1987 (aged 29),45,8,Napoli,https://en.wikipedia.org/wiki/S.S.C._Napoli,Belgium,https://en.wikipedia.org/wiki/Dries_Mertens
15,2DF,Jason Denayer,(1995-06-28)28 June 1995 (aged 20),7,0,Galatasaray,https://en.wikipedia.org/wiki/Galatasaray_S.K._(football),Belgium,https://en.wikipedia.org/wiki/Jason_Denayer
16,2DF,Thomas Meunier,(1991-09-12)12 September 1991 (aged 24),5,0,Club Brugge,https://en.wikipedia.org/wiki/Club_Brugge_KV,Belgium,https://en.wikipedia.org/wiki/Thomas_Meunier
17,4FW,Divock Origi,(1995-04-18)18 April 1995 (aged 21),19,3,Liverpool,https://en.wikipedia.org/wiki/Liverpool_F.C.,Belgium,https://en.wikipedia.org/wiki/Divock_Origi
18,2DF,Christian Kabasele,(1991-02-24)24 February 1991 (aged 25),0,0,Genk,https://en.wikipedia.org/wiki/K.R.C._Genk,Belgium,https://en.wikipedia.org/wiki/Christian_Kabasele
19,3MF,Mousa Dembélé,(1987-07-16)16 July 1987 (aged 28),65,5,Tottenham Hotspur,https://en.wikipedia.org/wiki/Tottenham_Hotspur_F.C.,Belgium,"https://en.wikipedia.org/wiki/Mousa_Demb%C3%A9l%C3%A9_(footballer,_born_1987)"
20,4FW,Christian Benteke,(1990-12-03)3 December 1990 (aged 25),26,6,Liverpool,https://en.wikipedia.org/wiki/Liverpool_F.C.,Belgium,https://en.wikipedia.org/wiki/Christian_Benteke
21,2DF,Jordan Lukaku,(1994-07-25)25 July 1994 (aged 21),4,0,Oostende,https://en.wikipedia.org/wiki/K.V._Oostende,Belgium,https://en.wikipedia.org/wiki/Jordan_Lukaku
22,4FW,Michy Batshuayi,(1993-10-02)2 October 1993 (aged 22),5,2,Marseille,https://en.wikipedia.org/wiki/Olympique_de_Marseille,Belgium,https://en.wikipedia.org/wiki/Michy_Batshuayi
23,2DF,Laurent Ciman,(1985-08-05)5 August 1985 (aged 30),11,1,Montreal Impact,https://en.wikipedia.org/wiki/Montreal_Impact,Belgium,https://en.wikipedia.org/wiki/Laurent_Ciman
1,1GK,Gianluigi Buffon (captain),(1978-01-28)28 January 1978 (aged 38),157,0,Juventus,https://en.wikipedia.org/wiki/Juventus_F.C.,Italy,https://en.wikipedia.org/wiki/Gianluigi_Buffon
2,2DF,Mattia De Sciglio,(1992-10-20)20 October 1992 (aged 23),22,0,Milan,https://en.wikipedia.org/wiki/A.C._Milan,Italy,https://en.wikipedia.org/wiki/Mattia_De_Sciglio
3,2DF,Giorgio Chiellini,(1984-08-14)14 August 1984 (aged 31),84,6,Juventus,https://en.wikipedia.org/wiki/Juventus_F.C.,Italy,https://en.wikipedia.org/wiki/Giorgio_Chiellini
4,2DF,Matteo Darmian,(1989-12-02)2 December 1989 (aged 26),22,1,Manchester United,https://en.wikipedia.org/wiki/Manchester_United_F.C.,Italy,https://en.wikipedia.org/wiki/Matteo_Darmian
5,2DF,Angelo Ogbonna,(1988-05-23)23 May 1988 (aged 28),11,0,West Ham United,https://en.wikipedia.org/wiki/West_Ham_United_F.C.,Italy,https://en.wikipedia.org/wiki/Angelo_Ogbonna
6,3MF,Antonio Candreva,(1987-02-28)28 February 1987 (aged 29),38,4,Lazio,https://en.wikipedia.org/wiki/S.S._Lazio,Italy,https://en.wikipedia.org/wiki/Antonio_Candreva
7,4FW,Simone Zaza,(1991-06-25)25 June 1991 (aged 24),11,1,Juventus,https://en.wikipedia.org/wiki/Juventus_F.C.,Italy,https://en.wikipedia.org/wiki/Simone_Zaza
8,3MF,Alessandro Florenzi,(1991-03-11)11 March 1991 (aged 25),17,2,Roma,https://en.wikipedia.org/wiki/A.S._Roma,Italy,https://en.wikipedia.org/wiki/Alessandro_Florenzi
9,4FW,Graziano Pellè,(1985-07-15)15 July 1985 (aged 30),13,5,Southampton,https://en.wikipedia.org/wiki/Southampton_F.C.,Italy,https://en.wikipedia.org/wiki/Graziano_Pell%C3%A8
10,3MF,Thiago Motta,(1982-08-28)28 August 1982 (aged 33),26,1,Paris Saint-Germain,https://en.wikipedia.org/wiki/Paris_Saint-Germain_F.C.,Italy,https://en.wikipedia.org/wiki/Thiago_Motta
11,4FW,Ciro Immobile,(1990-02-20)20 February 1990 (aged 26),13,1,Torino,https://en.wikipedia.org/wiki/Torino_F.C.,Italy,https://en.wikipedia.org/wiki/Ciro_Immobile
12,1GK,Salvatore Sirigu,(1987-01-12)12 January 1987 (aged 29),16,0,Paris Saint-Germain,https://en.wikipedia.org/wiki/Paris_Saint-Germain_F.C.,Italy,https://en.wikipedia.org/wiki/Salvatore_Sirigu
13,1GK,Federico Marchetti,(1983-02-07)7 February 1983 (aged 33),11,0,Lazio,https://en.wikipedia.org/wiki/S.S._Lazio,Italy,https://en.wikipedia.org/wiki/Federico_Marchetti
14,3MF,Stefano Sturaro,(1993-03-09)9 March 1993 (aged 23),1,0,Juventus,https://en.wikipedia.org/wiki/Juventus_F.C.,Italy,https://en.wikipedia.org/wiki/Stefano_Sturaro
15,2DF,Andrea Barzagli,(1981-05-08)8 May 1981 (aged 35),56,0,Juventus,https://en.wikipedia.org/wiki/Juventus_F.C.,Italy,https://en.wikipedia.org/wiki/Andrea_Barzagli
16,3MF,Daniele De Rossi,(1983-07-24)24 July 1983 (aged 32),103,18,Roma,https://en.wikipedia.org/wiki/A.S._Roma,Italy,https://en.wikipedia.org/wiki/Daniele_De_Rossi
17,4FW,Éder,(1986-11-15)15 November 1986 (aged 29),10,2,Internazionale,https://en.wikipedia.org/wiki/Inter_Milan,Italy,https://en.wikipedia.org/wiki/%C3%89der_(Italian_footballer)
18,3MF,Marco Parolo,(1985-01-25)25 January 1985 (aged 31),20,0,Lazio,https://en.wikipedia.org/wiki/S.S._Lazio,Italy,https://en.wikipedia.org/wiki/Marco_Parolo
19,2DF,Leonardo Bonucci,(1987-05-01)1 May 1987 (aged 29),57,3,Juventus,https://en.wikipedia.org/wiki/Juventus_F.C.,Italy,https://en.wikipedia.org/wiki/Leonardo_Bonucci
20,4FW,Lorenzo Insigne,(1991-06-04)4 June 1991 (aged 25),9,2,Napoli,https://en.wikipedia.org/wiki/S.S.C._Napoli,Italy,https://en.wikipedia.org/wiki/Lorenzo_Insigne
21,3MF,Federico Bernardeschi,(1994-02-16)16 February 1994 (aged 22),4,0,Fiorentina,https://en.wikipedia.org/wiki/ACF_Fiorentina,Italy,https://en.wikipedia.org/wiki/Federico_Bernardeschi
22,3MF,Stephan El Shaarawy,(1992-10-27)27 October 1992 (aged 23),19,3,Roma,https://en.wikipedia.org/wiki/A.S._Roma,Italy,https://en.wikipedia.org/wiki/Stephan_El_Shaarawy
23,3MF,Emanuele Giaccherini,(1985-05-05)5 May 1985 (aged 31),25,3,Bologna,https://en.wikipedia.org/wiki/Bologna_F.C._1909,Italy,https://en.wikipedia.org/wiki/Emanuele_Giaccherini
1,1GK,Keiren Westwood,(1984-10-23)23 October 1984 (aged 31),18,0,Sheffield Wednesday,https://en.wikipedia.org/wiki/Sheffield_Wednesday_F.C.,Republic of Ireland,https://en.wikipedia.org/wiki/Keiren_Westwood
2,2DF,Séamus Coleman,(1988-10-11)11 October 1988 (aged 27),34,0,Everton,https://en.wikipedia.org/wiki/Everton_F.C.,Republic of Ireland,https://en.wikipedia.org/wiki/S%C3%A9amus_Coleman
3,2DF,Ciaran Clark,(1989-09-26)26 September 1989 (aged 26),17,2,Aston Villa,https://en.wikipedia.org/wiki/Aston_Villa_F.C.,Republic of Ireland,https://en.wikipedia.org/wiki/Ciaran_Clark
4,2DF,John O'Shea,(1981-04-30)30 April 1981 (aged 35),111,3,Sunderland,https://en.wikipedia.org/wiki/Sunderland_A.F.C.,Republic of Ireland,https://en.wikipedia.org/wiki/John_O%27Shea
5,2DF,Richard Keogh,(1986-08-11)11 August 1986 (aged 29),12,1,Derby County,https://en.wikipedia.org/wiki/Derby_County_F.C.,Republic of Ireland,https://en.wikipedia.org/wiki/Richard_Keogh
6,3MF,Glenn Whelan,(1984-01-13)13 January 1984 (aged 32),71,2,Stoke City,https://en.wikipedia.org/wiki/Stoke_City_F.C.,Republic of Ireland,https://en.wikipedia.org/wiki/Glenn_Whelan
7,3MF,Aiden McGeady,(1986-04-04)4 April 1986 (aged 30),82,5,Sheffield Wednesday,https://en.wikipedia.org/wiki/Sheffield_Wednesday_F.C.,Republic of Ireland,https://en.wikipedia.org/wiki/Aiden_McGeady
8,3MF,James McCarthy,(1990-11-12)12 November 1990 (aged 25),35,0,Everton,https://en.wikipedia.org/wiki/Everton_F.C.,Republic of Ireland,https://en.wikipedia.org/wiki/James_McCarthy_(footballer)
9,4FW,Shane Long,(1987-01-22)22 January 1987 (aged 29),63,16,Southampton,https://en.wikipedia.org/wiki/Southampton_F.C.,Republic of Ireland,https://en.wikipedia.org/wiki/Shane_Long
10,4FW,Robbie Keane (captain),(1980-07-08)8 July 1980 (aged 35),143,67,LA Galaxy,https://en.wikipedia.org/wiki/LA_Galaxy,Republic of Ireland,https://en.wikipedia.org/wiki/Robbie_Keane
11,3MF,James McClean,(1989-04-22)22 April 1989 (aged 27),38,5,West Bromwich Albion,https://en.wikipedia.org/wiki/West_Bromwich_Albion_F.C.,Republic of Ireland,https://en.wikipedia.org/wiki/James_McClean
12,2DF,Shane Duffy,(1992-01-01)1 January 1992 (aged 24),3,0,Blackburn Rovers,https://en.wikipedia.org/wiki/Blackburn_Rovers_F.C.,Republic of Ireland,https://en.wikipedia.org/wiki/Shane_Duffy
13,3MF,Jeff Hendrick,(1992-01-31)31 January 1992 (aged 24),21,0,Derby County,https://en.wikipedia.org/wiki/Derby_County_F.C.,Republic of Ireland,https://en.wikipedia.org/wiki/Jeff_Hendrick
14,4FW,Jonathan Walters,(1983-09-20)20 September 1983 (aged 32),39,10,Stoke City,https://en.wikipedia.org/wiki/Stoke_City_F.C.,Republic of Ireland,https://en.wikipedia.org/wiki/Jonathan_Walters
15,2DF,Cyrus Christie,(1992-09-30)30 September 1992 (aged 23),5,1,Derby County,https://en.wikipedia.org/wiki/Derby_County_F.C.,Republic of Ireland,https://en.wikipedia.org/wiki/Cyrus_Christie
16,1GK,Shay Given,(1976-04-20)20 April 1976 (aged 40),134,0,Stoke City,https://en.wikipedia.org/wiki/Stoke_City_F.C.,Republic of Ireland,https://en.wikipedia.org/wiki/Shay_Given
17,2DF,Stephen Ward,(1985-08-20)20 August 1985 (aged 30),33,3,Burnley,https://en.wikipedia.org/wiki/Burnley_F.C.,Republic of Ireland,https://en.wikipedia.org/wiki/Stephen_Ward_(footballer)
18,3MF,David Meyler,(1989-05-29)29 May 1989 (aged 27),16,0,Hull City,https://en.wikipedia.org/wiki/Hull_City_A.F.C.,Republic of Ireland,https://en.wikipedia.org/wiki/David_Meyler
19,3MF,Robbie Brady,(1992-01-14)14 January 1992 (aged 24),23,4,Norwich City,https://en.wikipedia.org/wiki/Norwich_City_F.C.,Republic of Ireland,https://en.wikipedia.org/wiki/Robbie_Brady
20,3MF,Wes Hoolahan,(1982-05-20)20 May 1982 (aged 34),30,2,Norwich City,https://en.wikipedia.org/wiki/Norwich_City_F.C.,Republic of Ireland,https://en.wikipedia.org/wiki/Wes_Hoolahan
21,4FW,Daryl Murphy,(1983-03-15)15 March 1983 (aged 33),21,0,Ipswich Town,https://en.wikipedia.org/wiki/Ipswich_Town_F.C.,Republic of Ireland,https://en.wikipedia.org/wiki/Daryl_Murphy
22,3MF,Stephen Quinn,(1986-04-04)4 April 1986 (aged 30),15,0,Reading,https://en.wikipedia.org/wiki/Reading_F.C.,Republic of Ireland,https://en.wikipedia.org/wiki/Stephen_Quinn
23,1GK,Darren Randolph,(1987-05-12)12 May 1987 (aged 29),9,0,West Ham United,https://en.wikipedia.org/wiki/West_Ham_United_F.C.,Republic of Ireland,https://en.wikipedia.org/wiki/Darren_Randolph
1,1GK,Andreas Isaksson,(1981-10-03)3 October 1981 (aged 34),130,0,Kasımpaşa,https://en.wikipedia.org/wiki/Kas%C4%B1mpa%C5%9Fa_Spor_Kul%C3%BCb%C3%BC,Sweden,https://en.wikipedia.org/wiki/Andreas_Isaksson
2,2DF,Mikael Lustig,(1986-12-13)13 December 1986 (aged 29),52,3,Celtic,https://en.wikipedia.org/wiki/Celtic_F.C.,Sweden,https://en.wikipedia.org/wiki/Mikael_Lustig
3,2DF,Erik Johansson,(1988-12-30)30 December 1988 (aged 27),9,0,Copenhagen,https://en.wikipedia.org/wiki/F.C._Copenhagen,Sweden,"https://en.wikipedia.org/wiki/Erik_Johansson_(footballer,_born_1988)"
4,2DF,Andreas Granqvist,(1985-04-16)16 April 1985 (aged 31),52,3,Krasnodar,https://en.wikipedia.org/wiki/FC_Krasnodar,Sweden,https://en.wikipedia.org/wiki/Andreas_Granqvist
5,2DF,Martin Olsson,(1988-05-17)17 May 1988 (aged 28),35,5,Norwich City,https://en.wikipedia.org/wiki/Norwich_City_F.C.,Sweden,https://en.wikipedia.org/wiki/Martin_Olsson
6,3MF,Emil Forsberg,(1991-10-23)23 October 1991 (aged 24),17,2,RB Leipzig,https://en.wikipedia.org/wiki/RB_Leipzig,Sweden,https://en.wikipedia.org/wiki/Emil_Forsberg
7,3MF,Sebastian Larsson,(1985-06-06)6 June 1985 (aged 31),84,6,Sunderland,https://en.wikipedia.org/wiki/Sunderland_A.F.C.,Sweden,https://en.wikipedia.org/wiki/Sebastian_Larsson
8,3MF,Albin Ekdal,(1989-07-28)28 July 1989 (aged 26),22,0,Hamburger SV,https://en.wikipedia.org/wiki/Hamburger_SV,Sweden,https://en.wikipedia.org/wiki/Albin_Ekdal
9,3MF,Kim Källström,(1982-08-24)24 August 1982 (aged 33),128,16,Grasshopper,https://en.wikipedia.org/wiki/Grasshopper_Club_Z%C3%BCrich,Sweden,https://en.wikipedia.org/wiki/Kim_K%C3%A4llstr%C3%B6m
10,4FW,Zlatan Ibrahimović (captain),(1981-10-03)3 October 1981 (aged 34),113,62,Paris Saint-Germain,https://en.wikipedia.org/wiki/Paris_Saint-Germain_F.C.,Sweden,https://en.wikipedia.org/wiki/Zlatan_Ibrahimovi%C4%87
11,4FW,Marcus Berg,(1986-08-17)17 August 1986 (aged 29),38,10,Panathinaikos,https://en.wikipedia.org/wiki/Panathinaikos_F.C.,Sweden,https://en.wikipedia.org/wiki/Marcus_Berg
12,1GK,Robin Olsen,(1990-01-08)8 January 1990 (aged 26),4,0,Copenhagen,https://en.wikipedia.org/wiki/F.C._Copenhagen,Sweden,https://en.wikipedia.org/wiki/Robin_Olsen
13,2DF,Pontus Jansson,(1991-02-13)13 February 1991 (aged 25),8,0,Torino,https://en.wikipedia.org/wiki/Torino_F.C.,Sweden,https://en.wikipedia.org/wiki/Pontus_Jansson
14,2DF,Victor Lindelöf,(1994-07-17)17 July 1994 (aged 21),3,0,Benfica,https://en.wikipedia.org/wiki/S.L._Benfica,Sweden,https://en.wikipedia.org/wiki/Victor_Lindel%C3%B6f
15,3MF,Oscar Hiljemark,(1992-06-28)28 June 1992 (aged 23),10,1,Palermo,https://en.wikipedia.org/wiki/U.S._Citt%C3%A0_di_Palermo,Sweden,https://en.wikipedia.org/wiki/Oscar_Hiljemark
16,3MF,Pontus Wernbloom,(1986-06-25)25 June 1986 (aged 29),51,2,CSKA Moscow,https://en.wikipedia.org/wiki/PFC_CSKA_Moscow,Sweden,https://en.wikipedia.org/wiki/Pontus_Wernbloom
17,2DF,Ludwig Augustinsson,(1994-04-21)21 April 1994 (aged 22),4,0,Copenhagen,https://en.wikipedia.org/wiki/F.C._Copenhagen,Sweden,https://en.wikipedia.org/wiki/Ludwig_Augustinsson
18,3MF,Oscar Lewicki,(1992-07-14)14 July 1992 (aged 23),10,0,Malmö FF,https://en.wikipedia.org/wiki/Malm%C3%B6_FF,Sweden,https://en.wikipedia.org/wiki/Oscar_Lewicki
19,4FW,Emir Kujović,(1988-06-22)22 June 1988 (aged 27),4,1,IFK Norrköping,https://en.wikipedia.org/wiki/IFK_Norrk%C3%B6ping,Sweden,https://en.wikipedia.org/wiki/Emir_Kujovi%C4%87
20,4FW,John Guidetti,(1992-04-15)15 April 1992 (aged 24),9,1,Celta Vigo,https://en.wikipedia.org/wiki/Celta_de_Vigo,Sweden,https://en.wikipedia.org/wiki/John_Guidetti
21,3MF,Jimmy Durmaz,(1989-03-22)22 March 1989 (aged 27),32,2,Olympiacos,https://en.wikipedia.org/wiki/Olympiacos_F.C.,Sweden,https://en.wikipedia.org/wiki/Jimmy_Durmaz
22,3MF,Erkan Zengin,(1985-08-05)5 August 1985 (aged 30),20,3,Trabzonspor,https://en.wikipedia.org/wiki/Trabzonspor,Sweden,https://en.wikipedia.org/wiki/Erkan_Zengin
23,1GK,Patrik Carlgren,(1992-01-08)8 January 1992 (aged 24),1,0,AIK,https://en.wikipedia.org/wiki/AIK_Fotboll,Sweden,https://en.wikipedia.org/wiki/Patrik_Carlgren
1,1GK,Rui Patrício,(1988-02-15)15 February 1988 (aged 28),45,0,Sporting CP,https://en.wikipedia.org/wiki/Sporting_Clube_de_Portugal,Portugal,https://en.wikipedia.org/wiki/Rui_Patr%C3%ADcio
2,2DF,Bruno Alves,(1981-11-27)27 November 1981 (aged 34),85,10,Fenerbahçe,https://en.wikipedia.org/wiki/Fenerbah%C3%A7e_S.K._(football),Portugal,https://en.wikipedia.org/wiki/Bruno_Alves
3,2DF,Pepe,(1983-02-26)26 February 1983 (aged 33),71,3,Real Madrid,https://en.wikipedia.org/wiki/Real_Madrid_C.F.,Portugal,"https://en.wikipedia.org/wiki/Pepe_(footballer,_born_1983)"
4,2DF,José Fonte,(1983-12-22)22 December 1983 (aged 32),12,0,Southampton,https://en.wikipedia.org/wiki/Southampton_F.C.,Portugal,https://en.wikipedia.org/wiki/Jos%C3%A9_Fonte
5,2DF,Raphaël Guerreiro,(1993-12-22)22 December 1993 (aged 22),7,2,Lorient,https://en.wikipedia.org/wiki/FC_Lorient,Portugal,https://en.wikipedia.org/wiki/Rapha%C3%ABl_Guerreiro
6,2DF,Ricardo Carvalho,(1978-05-18)18 May 1978 (aged 38),86,5,Monaco,https://en.wikipedia.org/wiki/AS_Monaco_FC,Portugal,https://en.wikipedia.org/wiki/Ricardo_Carvalho
7,4FW,Cristiano Ronaldo (captain),(1985-02-05)5 February 1985 (aged 31),126,58,Real Madrid,https://en.wikipedia.org/wiki/Real_Madrid_C.F.,Portugal,https://en.wikipedia.org/wiki/Cristiano_Ronaldo
8,3MF,João Moutinho,(1986-09-08)8 September 1986 (aged 29),84,4,Monaco,https://en.wikipedia.org/wiki/AS_Monaco_FC,Portugal,https://en.wikipedia.org/wiki/Jo%C3%A3o_Moutinho
9,4FW,Éder,(1987-12-22)22 December 1987 (aged 28),26,3,Lille,https://en.wikipedia.org/wiki/Lille_OSC,Portugal,https://en.wikipedia.org/wiki/%C3%89der_(Portuguese_footballer)
10,3MF,João Mário,(1993-01-19)19 January 1993 (aged 23),11,0,Sporting CP,https://en.wikipedia.org/wiki/Sporting_Clube_de_Portugal,Portugal,https://en.wikipedia.org/wiki/Jo%C3%A3o_M%C3%A1rio_(Portuguese_footballer)
11,3MF,Vieirinha,(1986-01-24)24 January 1986 (aged 30),22,1,VfL Wolfsburg,https://en.wikipedia.org/wiki/VfL_Wolfsburg,Portugal,https://en.wikipedia.org/wiki/Vieirinha
12,1GK,Anthony Lopes,(1990-10-01)1 October 1990 (aged 25),4,0,Lyon,https://en.wikipedia.org/wiki/Olympique_Lyonnais,Portugal,https://en.wikipedia.org/wiki/Anthony_Lopes
13,3MF,Danilo,(1991-09-09)9 September 1991 (aged 24),12,1,Porto,https://en.wikipedia.org/wiki/FC_Porto,Portugal,https://en.wikipedia.org/wiki/Danilo_Pereira_(Portuguese_footballer)
14,3MF,William Carvalho,(1992-04-07)7 April 1992 (aged 24),20,0,Sporting CP,https://en.wikipedia.org/wiki/Sporting_Clube_de_Portugal,Portugal,https://en.wikipedia.org/wiki/William_Carvalho
15,3MF,André Gomes,(1993-07-30)30 July 1993 (aged 22),8,0,Valencia,https://en.wikipedia.org/wiki/Valencia_CF,Portugal,https://en.wikipedia.org/wiki/Andr%C3%A9_Gomes
16,3MF,Renato Sanches,(1997-08-18)18 August 1997 (aged 18),5,0,Benfica,https://en.wikipedia.org/wiki/S.L._Benfica,Portugal,https://en.wikipedia.org/wiki/Renato_Sanches
17,4FW,Nani,(1986-11-17)17 November 1986 (aged 29),96,17,Fenerbahçe,https://en.wikipedia.org/wiki/Fenerbah%C3%A7e_S.K._(football),Portugal,https://en.wikipedia.org/wiki/Nani
18,3MF,Rafa Silva,(1993-05-17)17 May 1993 (aged 23),8,0,Braga,https://en.wikipedia.org/wiki/S.C._Braga,Portugal,https://en.wikipedia.org/wiki/Rafa_Silva
19,2DF,Eliseu,(1983-10-01)1 October 1983 (aged 32),16,1,Benfica,https://en.wikipedia.org/wiki/S.L._Benfica,Portugal,https://en.wikipedia.org/wiki/Eliseu
20,4FW,Ricardo Quaresma,(1983-09-26)26 September 1983 (aged 32),50,7,Beşiktaş,https://en.wikipedia.org/wiki/Be%C5%9Fikta%C5%9F_J.K.,Portugal,https://en.wikipedia.org/wiki/Ricardo_Quaresma
21,2DF,Cédric,(1991-08-31)31 August 1991 (aged 24),11,0,Southampton,https://en.wikipedia.org/wiki/Southampton_F.C.,Portugal,https://en.wikipedia.org/wiki/C%C3%A9dric_Soares
22,1GK,Eduardo,(1982-09-19)19 September 1982 (aged 33),35,0,Dinamo Zagreb,https://en.wikipedia.org/wiki/GNK_Dinamo_Zagreb,Portugal,https://en.wikipedia.org/wiki/Eduardo_Carvalho
23,3MF,Adrien Silva,(1989-03-15)15 March 1989 (aged 27),9,0,Sporting CP,https://en.wikipedia.org/wiki/Sporting_Clube_de_Portugal,Portugal,https://en.wikipedia.org/wiki/Adrien_Silva
1,1GK,Hannes Þór Halldórsson,(1984-04-28)28 April 1984 (aged 32),33,0,Bodø/Glimt,https://en.wikipedia.org/wiki/FK_Bod%C3%B8/Glimt,Iceland,https://en.wikipedia.org/wiki/Hannes_%C3%9E%C3%B3r_Halld%C3%B3rsson
2,2DF,Birkir Már Sævarsson,(1984-11-11)11 November 1984 (aged 31),57,1,Hammarby IF,https://en.wikipedia.org/wiki/Hammarby_Fotboll,Iceland,https://en.wikipedia.org/wiki/Birkir_M%C3%A1r_S%C3%A6varsson
3,2DF,Haukur Heiðar Hauksson,(1991-09-01)1 September 1991 (aged 24),7,0,AIK,https://en.wikipedia.org/wiki/AIK_Fotboll,Iceland,https://en.wikipedia.org/wiki/Haukur_Hei%C3%B0ar_Hauksson
4,2DF,Hjörtur Hermannsson,(1995-02-08)8 February 1995 (aged 21),3,0,IFK Göteborg,https://en.wikipedia.org/wiki/IFK_G%C3%B6teborg,Iceland,https://en.wikipedia.org/wiki/Hj%C3%B6rtur_Hermannsson
5,2DF,Sverrir Ingi Ingason,(1993-08-05)5 August 1993 (aged 22),6,2,Lokeren,https://en.wikipedia.org/wiki/K.S.C._Lokeren_Oost-Vlaanderen,Iceland,https://en.wikipedia.org/wiki/Sverrir_Ingi_Ingason
6,2DF,Ragnar Sigurðsson,(1986-06-19)19 June 1986 (aged 29),56,1,Krasnodar,https://en.wikipedia.org/wiki/FC_Krasnodar,Iceland,https://en.wikipedia.org/wiki/Ragnar_Sigur%C3%B0sson
7,3MF,Jóhann Berg Guðmundsson,(1990-10-27)27 October 1990 (aged 25),47,5,Charlton Athletic,https://en.wikipedia.org/wiki/Charlton_Athletic_F.C.,Iceland,https://en.wikipedia.org/wiki/J%C3%B3hann_Berg_Gu%C3%B0mundsson
8,3MF,Birkir Bjarnason,(1988-05-27)27 May 1988 (aged 28),47,6,Basel,https://en.wikipedia.org/wiki/FC_Basel,Iceland,https://en.wikipedia.org/wiki/Birkir_Bjarnason
9,4FW,Kolbeinn Sigþórsson,(1990-03-14)14 March 1990 (aged 26),39,20,Nantes,https://en.wikipedia.org/wiki/FC_Nantes,Iceland,https://en.wikipedia.org/wiki/Kolbeinn_Sig%C3%BE%C3%B3rsson
10,3MF,Gylfi Sigurðsson,(1989-09-08)8 September 1989 (aged 26),39,13,Swansea City,https://en.wikipedia.org/wiki/Swansea_City_A.F.C.,Iceland,https://en.wikipedia.org/wiki/Gylfi_Sigur%C3%B0sson
11,4FW,Alfreð Finnbogason,(1989-02-01)1 February 1989 (aged 27),34,8,FC Augsburg,https://en.wikipedia.org/wiki/FC_Augsburg,Iceland,https://en.wikipedia.org/wiki/Alfre%C3%B0_Finnbogason
12,1GK,Ögmundur Kristinsson,(1989-06-19)19 June 1989 (aged 26),11,0,Hammarby IF,https://en.wikipedia.org/wiki/Hammarby_Fotboll,Iceland,"https://en.wikipedia.org/wiki/%C3%96gmundur_Kristinsson_(footballer,_born_1989)"
13,1GK,Ingvar Jónsson,(1989-10-18)18 October 1989 (aged 26),5,0,Sandefjord,https://en.wikipedia.org/wiki/Sandefjord_Fotball,Iceland,https://en.wikipedia.org/wiki/Ingvar_J%C3%B3nsson
